대분류,중분류,소분류,URL,JSP,TABLE
,공통코드관리,공통코드 목록,/sym/ccm/cca/EgovCcmCmmnCodeList.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/ccm/EgovCcmCmmnCodeList.jsp,"CMMNCODE
CMMNCLCODE"
,,공통코드 등록,/sym/ccm/cca/EgovCcmCmmnCodeRegist.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/ccm/EgovCcmCmmnCodeRegist.jsp,CMMNCODE
,,공통코드 수정,/sym/ccm/cca/EgovCcmCmmnCodeModify.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/ccm/EgovCcmCmmnCodeModify.jsp,CMMNCODE
,,공통코드 상세조회,/sym/ccm/cca/EgovCcmCmmnCodeDetail.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/ccm/EgovCcmCmmnCodeDetail.jsp,CMMNCODE
,상세코드관리,상세코드 목록,/sym/ccm/cde/EgovCcmCmmnDetailCodeList.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/ccm/EgovCcmCmmnDetailCodeList.jsp,"CMMNDETAILCODE
CMMNCODE"
,,상세코드 등록,/sym/ccm/cde/EgovCcmCmmnDetailCodeRegist.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/ccm/EgovCcmCmmnDetailCodeRegist.jsp,CMMNDETAILCODE
,,상세코드 수정,/sym/ccm/cde/EgovCcmCmmnDetailCodeModify.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/ccm/EgovCcmCmmnDetailCodeModify.jsp,CMMNDETAILCODE
,,상세코드 상세조회,/sym/ccm/cde/EgovCcmCmmnDetailCodeDetail.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/ccm/EgovCcmCmmnDetailCodeDetail.jsp,CMMNDETAILCODE
,우편번호관리,우편번호 목록,/sym/ccm/zip/EgovCcmZipList.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/zip/EgovCcmZipList.jsp,ZIP
,,우편번호 등록,/sym/ccm/zip/EgovCcmZipRegist.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/zip/EgovCcmZipRegist.jsp,ZIP
,,우편번호 수정,/sym/ccm/zip/EgovCcmZipModify.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/zip/EgovCcmZipModify.jsp,ZIP
,,우편번호 상세조회,/sym/ccm/zip/EgovCcmZipDetail.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/zip/EgovCcmZipDetail.jsp,ZIP
,,우편번호 엑셀파일등록,/sym/ccm/zip/EgovCcmExcelZipRegist.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/zip/EgovCcmExcelZipRegist.jsp,ZIP
